dataset_name,alg_name,fold,train_time,infer_time,best_params,accuracy,precision,fpr,tpr,pr_auc,roc_auc
cylinder-bands.csv,RBoost,1,24.693110942840576,0.08112650651198168,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 100, 'estimator__model__kappa': 0.004340277777777778, 'estimator__model__T': 10}",0.5,0.3786982248520711,1.0,1.0,0.6153846153846154,0.5
cylinder-bands.csv,RBoost,2,24.51978397369385,0.08183717727661133,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 1, 'estimator__model__kappa': 0.002170138888888889, 'estimator__model__T': 10}",0.5,0.3786982248520711,1.0,1.0,0.6153846153846154,0.5
cylinder-bands.csv,RBoost,3,24.11246705055237,0.04974533529842602,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 100, 'estimator__model__kappa': 0.004340277777777778, 'estimator__model__T': 5}",0.5,0.3694732795078815,1.0,1.0,0.6078431372549019,0.5
cylinder-bands.csv,RBoost,4,23.836543560028076,0.04925914839202282,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 1, 'estimator__model__kappa': 0.3333333333333333, 'estimator__model__T': 5}",0.5,0.3694732795078815,1.0,1.0,0.6078431372549019,0.5
cylinder-bands.csv,RBoost,5,24.281663179397587,0.08225908466413909,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 1, 'estimator__model__kappa': 0.3333333333333333, 'estimator__model__T': 10}",0.5,0.3694732795078815,1.0,1.0,0.6078431372549019,0.5
cylinder-bands.csv,RBoost,6,24.564141750335693,0.0900894987816904,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 1, 'estimator__model__kappa': 0.004340277777777778, 'estimator__model__T': 10}",0.5,0.3694732795078815,1.0,1.0,0.6078431372549019,0.5
cylinder-bands.csv,RBoost,7,25.06370329856873,0.08164200128293506,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 1, 'estimator__model__kappa': 0.002170138888888889, 'estimator__model__T': 10}",0.5,0.3694732795078815,1.0,1.0,0.6078431372549019,0.5
cylinder-bands.csv,RBoost,8,24.305026292800907,0.05077848247453278,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 50, 'estimator__model__kappa': 0.006510416666666666, 'estimator__model__T': 5}",0.5,0.3694732795078815,1.0,1.0,0.6078431372549019,0.5
cylinder-bands.csv,RBoost,9,24.85933589935303,0.08814007628197762,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 100, 'estimator__model__kappa': 0.004340277777777778, 'estimator__model__T': 10}",0.5,0.3694732795078815,1.0,1.0,0.6078431372549019,0.5
cylinder-bands.csv,RBoost,10,24.25199222564697,0.0807958490708295,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 1, 'estimator__model__kappa': 0.004340277777777778, 'estimator__model__T': 10}",0.5,0.3694732795078815,1.0,1.0,0.6078431372549019,0.5
